account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000017,Industrias Nacional Fernandez S.R.L.,17,Manufacturing,SMB,Av. El Sol 631,Surco,Santiago,15038,Customer,37541181,2500,2024-01-31
ACC000018,Comercial Inca Sur Holdings,18,Retail,Enterprise,Jr. Concepcion 1580,Vina del Mar,Vina del Mar,07001,Prospect,4291056,5,2022-06-26
ACC000019,Industrias Inca Fernandez E.I.R.L.,19,MSP,Partner,Av. Ejercito 450,Santiago,Santiago,15001,Partner,32803416,25,2024-11-05
ACC000020,Industrias Sierra Selva S.R.L.,20,Technology,Enterprise,Av. La Encalada 1338,Iquique,Iquique,16001,Partner,8264991,10,2021-01-23
ACC000021,Inversiones Sur Sol Chile,21,Transport & Logistics,SMB,Av. Valparaiso 696,San Borja,Santiago,15037,Partner,260973885,5000,2024-10-12
ACC000022,Industrias Pacifico Garcia S.A.,22,Manufacturing,SMB,Paseo de la Republica 1117,Antofagasta,Antofagasta,14001,Partner,4230808,100,2023-05-02
ACC000023,Servicios Andina Costa E.I.R.L.,23,Charity,SMB,Av. Angamos 207,Iquique,Iquique,16001,Customer,133143547,1000,2022-03-21
ACC000024,Servicios Sierra Sierra Group,24,Media & Entertainment,Enterprise,Av. Brasil 1978,Puno,Puno,21001,Customer,29665774,1000,2022-11-02
ACC000025,Servicios Central Chile Holdings,25,Financial Services,Enterprise,Paseo de la Republica 558,Valparaiso,Valparaiso,04001,Customer,8974152,5,2023-09-29
ACC000026,Servicios Inca Sanchez E.I.R.L.,26,Real Estate,SMB,Av. Larco 460,Miraflores,Santiago,15074,Partner,41089442,25,2024-01-09
ACC000027,Grupo Fernandez Selva Chile,27,Central Government,Public Sector,Jr. Puno 1792,Puno,Puno,21001,Customer,839653,5,2021-11-14
ACC000028,Inversiones Sanchez Sanchez S.R.L.,28,Construction,Enterprise,Av. Larco 804,Vina del Mar,Vina del Mar,07001,Partner,37113944,10,2024-09-05
ACC000029,Corporacion Inca Martinez Group,29,Financial Services,SMB,Av. Angamos 390,Antofagasta,Antofagasta,14001,Customer,363057151,250,2021-12-25
ACC000030,Comercial Martinez Garcia Chile,30,Healthcare,SMB,Av. Primavera 1584,Copiapo,Copiapo,13001,Partner,28129602,25,2021-06-30
ACC000031,Industrias Gonzalez Nacional Holdings,31,Manufacturing,SMB,Av. Benavides 1851,Antofagasta,Antofagasta,14001,Customer,3918418,10,2020-02-18
ACC000032,Corporacion Lopez Nacional S.A.C.,32,Financial Services,Enterprise,Av. Ejercito 1669,Rancagua,Rancagua,12001,Partner,182784731,250,2020-08-24
ACC000033,Empresa Pacifico Sierra S.R.L.,33,Professional Services,Enterprise,Jr. Concepcion 400,Puno,Puno,21001,Partner,2040214,50,2023-03-26
ACC000034,Industrias Inca Inca S.A.,34,Construction,SMB,Calle Las Begonias 518,Santiago,Santiago,15001,Customer,339554012,1000,2023-09-20
ACC000035,Empresa Pacifico Lopez del Chile,35,Technology,SMB,Jr. Puno 371,Surco,Santiago,15038,Partner,73337118,500,2022-05-11
ACC000036,Corporacion Inca Oriente E.I.R.L.,36,Professional Services,SMB,Jr. de la Union 234,San Borja,Santiago,15037,Customer,117840968,2500,2024-05-28
ACC000037,Servicios Sierra Sierra Group,37,Legal Services,SMB,Av. Angamos 408,Iquique,Iquique,16001,Customer,4861145,100,2023-09-21
ACC000038,Comercial Norte Oriente E.I.R.L.,38,Central Government,Public Sector,Av. El Sol 1195,Concepcion,Concepcion,08001,Customer,8071465,100,2024-10-06
ACC000039,Corporacion Nacional Selva S.A.C.,39,Financial Services,Enterprise,Av. Angamos 990,San Isidro,Santiago,15036,Partner,7652952,100,2021-03-24
ACC000040,Servicios Inca Norte E.I.R.L.,40,Legal Services,Enterprise,Paseo de la Republica 1978,Santiago,Santiago,15001,Partner,9477210,100,2021-10-11
ACC000041,Servicios Torres Selva Holdings,41,Real Estate,SMB,Av. Brasil 1957,Surco,Santiago,15038,Partner,43292734,50,2024-04-17
ACC000042,Inversiones Lopez Regional S.A.C.,42,MSP,Partner,Jr. de la Union 250,Concepcion,Concepcion,08001,Partner,21955345,250,2020-06-14
ACC000043,Comercial Sierra Martinez S.A.,43,Transport & Logistics,SMB,Av. Valparaiso 488,Temuco,Temuco,20001,Prospect,121608546,500,2021-02-27
ACC000044,Industrias Martinez Garcia S.A.,44,Transport & Logistics,Enterprise,Av. Larco 676,Iquique,Iquique,16001,Partner,28620042,250,2024-03-10
ACC000045,Corporacion Nacional Norte del Chile,45,Central Government,Public Sector,Calle Las Begonias 1628,Cayma,Valparaiso,04006,Prospect,100229086,5000,2024-01-23
ACC000046,Comercial Nacional Andina E.I.R.L.,46,Education,Public Sector,Calle Las Begonias 301,San Isidro,Santiago,15036,Prospect,2376659,50,2021-01-07
ACC000047,Corporacion Oriente Sur E.I.R.L.,47,Education,Enterprise,Av. La Marina 1663,Temuco,Temuco,20001,Customer,453239386,250,2022-08-21
ACC000048,Pacifico Gonzalez Holdings,48,MSP,Partner,Av. Primavera 1960,Antofagasta,Antofagasta,14001,Customer,441919,100,2020-11-08
ACC000049,Industrias Regional Norte del Chile,49,Charity,SMB,Av. Javier Prado 1328,Santiago,Santiago,15001,Partner,173006756,500,2024-05-11
ACC000050,Inversiones Nacional Nacional Chile,50,Professional Services,Enterprise,Paseo de la Republica 772,Copiapo,Copiapo,13001,Partner,5600037,250,2023-11-15
ACC000051,Empresa Costa Torres E.I.R.L.,51,Healthcare,SMB,Av. Javier Prado 847,Temuco,Temuco,20001,Partner,44893945,50,2020-05-21
ACC000052,Grupo Sur Andina S.R.L.,52,Real Estate,Enterprise,Jr. Puno 1959,Tacna,Tacna,23001,Prospect,3055087,100,2023-08-25
ACC000053,Comercial Inca Costa Group,53,Hospitality,SMB,Av. Brasil 1588,Cayma,Valparaiso,04006,Prospect,4191349,50,2023-03-13
ACC000054,Industrias Sanchez Rodriguez S.A.C.,54,Recruitment,SMB,Av. Ejercito 493,Puno,Puno,21001,Customer,187718024,1000,2024-12-07
ACC000055,Corporacion Gonzalez Martinez S.R.L.,55,NHS Trust,Public Sector,Av. Ejercito 1505,Iquique,Iquique,16001,Partner,412036549,500,2023-11-15
ACC000056,Industrias Inca Pacifico Holdings,56,Recruitment,SMB,Jr. Concepcion 1001,Santiago,Santiago,15001,Customer,361460822,5000,2022-01-25
ACC000057,Corporacion Continental Chile Group,57,Construction,Enterprise,Av. Brasil 624,Valparaiso,Valparaiso,04001,Customer,128769169,250,2024-01-17
ACC000058,Sanchez Sanchez S.R.L.,58,Healthcare,Public Sector,Av. Larco 243,Temuco,Temuco,20001,Partner,413133505,5000,2023-05-07
ACC000059,Grupo Lopez Rodriguez Chile,59,Legal Services,Enterprise,Av. La Encalada 1514,Cayma,Valparaiso,04006,Customer,152269775,250,2020-04-21
ACC000060,Corporacion Norte Norte Group,60,Media & Entertainment,Enterprise,Calle Las Begonias 738,San Borja,Santiago,15037,Prospect,187915107,500,2020-04-15
ACC000061,Corporacion Sur Garcia Chile,61,MSP,Partner,Av. La Marina 569,Surco,Santiago,15038,Partner,5197514,5,2021-05-23
ACC000062,Empresa Oriente Sol Group,62,Financial Services,SMB,Av. Ejercito 629,Rancagua,Rancagua,12001,Customer,466798463,5000,2022-05-28
ACC000063,Corporacion Lopez Gonzalez E.I.R.L.,63,Construction,Enterprise,Calle Las Begonias 665,San Isidro,Santiago,15036,Customer,89319384,500,2020-12-21
ACC000064,Inversiones Regional Garcia S.A.C.,64,Healthcare,Enterprise,Jr. Puno 503,San Isidro,Santiago,15036,Customer,382413569,2500,2020-05-25
ACC000065,Industrias Fernandez Continental S.A.C.,65,Legal Services,Enterprise,Av. Ejercito 631,Surco,Santiago,15038,Customer,492699683,1000,2024-08-19
ACC000066,Corporacion Oriente Fernandez Group,66,Telecommunications,Partner,Jr. Puno 117,Antofagasta,Antofagasta,14001,Customer,197833330,5000,2021-07-11
ACC000067,Grupo Martinez Costa Chile,67,Construction,SMB,Av. Primavera 351,Antofagasta,Antofagasta,14001,Customer,1632210,10,2023-10-12
ACC000068,Corporacion Fernandez Sierra S.R.L.,68,Construction,SMB,Jr. de la Union 1801,Miraflores,Santiago,15074,Partner,44222061,100,2021-07-23
ACC000069,Corporacion Sierra Central del Chile,69,Insurance,Enterprise,Av. Benavides 1937,Tacna,Tacna,23001,Customer,2798193,25,2022-04-23
ACC000070,Empresa Norte Rodriguez S.A.,70,Central Government,Public Sector,Paseo de la Republica 1439,Puno,Puno,21001,Customer,41117467,5000,2024-11-06
ACC000071,Grupo Selva Rodriguez S.R.L.,71,Professional Services,SMB,Av. Larco 733,Rancagua,Rancagua,12001,Prospect,7516216,5,2021-02-20
ACC000072,Grupo Rodriguez Oriente Holdings,72,Transport & Logistics,SMB,Calle Las Begonias 1411,Santiago,Santiago,15001,Customer,9341545,5,2023-02-05
ACC000073,Grupo Central Norte S.R.L.,73,Professional Services,SMB,Jr. de la Union 842,Puno,Puno,21001,Customer,228064677,2500,2022-08-25
ACC000074,Servicios Sierra Pacifico S.A.,74,Manufacturing,SMB,Av. Brasil 1377,Rancagua,Rancagua,12001,Prospect,101234564,2500,2024-08-07
ACC000075,Inversiones Norte Fernandez S.R.L.,75,Construction,SMB,Jr. de la Union 1465,Antofagasta,Antofagasta,14001,Customer,5677416,100,2024-04-11
ACC000076,Grupo Central Sur Chile,76,Charity,SMB,Av. Ejercito 1203,Vina del Mar,Vina del Mar,07001,Prospect,383616334,2500,2022-03-01
ACC000077,Industrias Rodriguez Torres Group,77,Hospitality,SMB,Jr. de la Union 1645,Concepcion,Concepcion,08001,Customer,287367836,2500,2020-02-01
ACC000078,Comercial Sur Nacional Group,78,Financial Services,Enterprise,Av. La Marina 1700,Copiapo,Copiapo,13001,Prospect,184439199,500,2024-10-10
ACC000079,Gonzalez Garcia E.I.R.L.,79,Professional Services,SMB,Av. La Encalada 672,Miraflores,Santiago,15074,Customer,4921419,10,2024-03-09
ACC000080,Sol Garcia Chile,80,Professional Services,Enterprise,Av. Valparaiso 1304,San Borja,Santiago,15037,Customer,6114016,25,2022-06-01
ACC000081,Industrias Nacional Sur Holdings,81,MSP,Partner,Av. Javier Prado 208,Copiapo,Copiapo,13001,Prospect,176352234,1000,2022-10-16
ACC000082,Empresa Rodriguez Torres Chile,82,Education,Public Sector,Calle Las Begonias 1513,Concepcion,Concepcion,08001,Customer,1339197,50,2021-12-08
ACC000083,Corporacion Central Pacifico del Chile,83,NHS Trust,Public Sector,Av. Larco 1016,San Isidro,Santiago,15036,Customer,6498231,100,2022-01-05
ACC000084,Oriente Norte E.I.R.L.,84,Financial Services,Enterprise,Paseo de la Republica 127,Iquique,Iquique,16001,Customer,3960745,100,2024-06-30
ACC000085,Industrias Torres Andina del Chile,85,Legal Services,SMB,Av. Primavera 516,Miraflores,Santiago,15074,Customer,170857076,2500,2020-03-09
ACC000086,Corporacion Torres Regional S.A.C.,86,Charity,SMB,Jr. de la Union 332,Surco,Santiago,15038,Customer,9006224,100,2021-07-12
ACC000087,Grupo Gonzalez Martinez Holdings,87,Technology,Enterprise,Av. Angamos 1927,Miraflores,Santiago,15074,Partner,45887316,100,2024-09-28
ACC000088,Empresa Oriente Costa Chile,88,NHS Trust,Public Sector,Av. Primavera 1394,Cayma,Valparaiso,04006,Partner,39729163,100,2024-08-11
ACC000089,Servicios Nacional Chile S.A.,89,Media & Entertainment,Enterprise,Av. Javier Prado 891,Vina del Mar,Vina del Mar,07001,Prospect,5169909,50,2020-08-26
ACC000090,Inversiones Fernandez Inca S.R.L.,90,Legal Services,Enterprise,Av. Valparaiso 1284,Miraflores,Santiago,15074,Prospect,109592645,5000,2023-04-17
ACC000091,Comercial Sanchez Sur S.R.L.,91,Hospitality,SMB,Av. La Encalada 672,Valparaiso,Valparaiso,04001,Customer,68322886,5000,2022-06-29
ACC000092,Grupo Nacional Continental S.A.,92,Financial Services,SMB,Jr. Concepcion 1984,Temuco,Temuco,20001,Customer,132062265,500,2023-09-19
ACC000093,Servicios Lopez Inca S.R.L.,93,Real Estate,Enterprise,Av. Brasil 193,Iquique,Iquique,16001,Customer,450505056,5000,2021-02-28
ACC000094,Industrias Oriente Lopez Chile,94,MSP,Partner,Av. Valparaiso 1530,San Borja,Santiago,15037,Customer,3027575,5,2023-09-15
ACC000095,Corporacion Selva Central Chile,95,Real Estate,Enterprise,Paseo de la Republica 947,San Borja,Santiago,15037,Prospect,8926250,5,2024-03-07
ACC000096,Servicios Sierra Chile S.R.L.,96,Education,Public Sector,Av. La Marina 1353,Vina del Mar,Vina del Mar,07001,Partner,5160517,50,2023-08-10
ACC000097,Empresa Sol Oriente Chile,97,Local Government,Public Sector,Jr. Puno 574,Valparaiso,Valparaiso,04001,Customer,2588628,5,2020-09-15
ACC000098,Servicios Continental Sur S.R.L.,98,Insurance,Enterprise,Av. Brasil 675,Copiapo,Copiapo,13001,Partner,7317547,5,2024-06-12
ACC000099,Industrias Oriente Garcia S.A.C.,99,Insurance,Enterprise,Av. La Encalada 938,Tacna,Tacna,23001,Customer,131735184,5000,2022-05-01
ACC000100,Oriente Regional S.R.L.,100,Construction,SMB,Av. La Marina 463,Iquique,Iquique,16001,Customer,34487966,500,2020-07-09
ACC000101,Servicios Inca Sur Holdings,101,Media & Entertainment,Enterprise,Av. Primavera 626,Tacna,Tacna,23001,Customer,225551207,1000,2024-11-24
ACC000102,Corporacion Pacifico Pacifico S.R.L.,102,Healthcare,SMB,Av. La Marina 1409,Iquique,Iquique,16001,Customer,88070129,10000,2022-09-14
ACC000103,Comercial Lopez Andina Chile,103,Education,Enterprise,Av. El Sol 500,Surco,Santiago,15038,Partner,174704822,500,2023-06-01
ACC000104,Garcia Lopez S.R.L.,104,Legal Services,SMB,Av. El Sol 1935,Rancagua,Rancagua,12001,Customer,309041322,10000,2022-03-31
ACC000105,Inversiones Inca Sur Holdings,105,Financial Services,SMB,Jr. Concepcion 120,Rancagua,Rancagua,12001,Customer,2740889,25,2021-09-30
ACC000106,Empresa Andina Nacional Chile,106,Healthcare,Public Sector,Av. Brasil 1151,Miraflores,Santiago,15074,Customer,83042050,5000,2023-09-17
ACC000107,Comercial Sierra Selva Group,107,NHS Trust,Public Sector,Av. Ejercito 1597,San Isidro,Santiago,15036,Customer,369115457,10000,2023-04-29
ACC000108,Corporacion Sierra Gonzalez S.A.C.,108,Telecommunications,Partner,Paseo de la Republica 1952,Surco,Santiago,15038,Customer,415255757,1000,2021-08-15
ACC000109,Inversiones Lopez Costa Group,109,Financial Services,SMB,Calle Las Begonias 295,Surco,Santiago,15038,Customer,1309226,50,2024-10-30
ACC000110,Empresa Nacional Rodriguez S.A.,110,Manufacturing,Enterprise,Av. Benavides 704,Puno,Puno,21001,Prospect,87716147,500,2022-04-09
ACC000111,Comercial Norte Torres S.R.L.,111,Central Government,Public Sector,Av. Angamos 1142,Miraflores,Santiago,15074,Prospect,9979620,50,2022-12-09
ACC000112,Grupo Nacional Lopez S.A.C.,112,Transport & Logistics,Enterprise,Jr. Concepcion 1653,Temuco,Temuco,20001,Partner,8655575,10,2024-05-08
ACC000113,Grupo Andina Rodriguez E.I.R.L.,113,Healthcare,Enterprise,Av. Javier Prado 906,Miraflores,Santiago,15074,Customer,413137477,10000,2020-06-03
ACC000114,Sur Nacional Group,114,Manufacturing,Enterprise,Jr. Puno 459,Antofagasta,Antofagasta,14001,Customer,7477995,5,2022-08-18
ACC000115,Regional Lopez S.A.,115,Education,Enterprise,Av. La Marina 922,Miraflores,Santiago,15074,Customer,1054456,25,2024-08-30
ACC000116,Empresa Lopez Sur del Chile,116,Telecommunications,Partner,Av. Benavides 1633,Concepcion,Concepcion,08001,Partner,354952571,500,2021-10-20
ACC000117,Industrias Costa Oriente Chile,117,Charity,SMB,Jr. Puno 438,Miraflores,Santiago,15074,Customer,26014270,500,2023-12-20
ACC000118,Industrias Central Gonzalez S.R.L.,118,Media & Entertainment,Enterprise,Jr. Puno 1747,Surco,Santiago,15038,Partner,978547,25,2020-05-14
ACC000119,Industrias Martinez Andina Chile,119,Real Estate,SMB,Av. Primavera 1815,Miraflores,Santiago,15074,Customer,5969018,25,2023-09-05
ACC000120,Empresa Pacifico Chile del Chile,120,Local Government,Public Sector,Av. Primavera 452,Antofagasta,Antofagasta,14001,Customer,189883001,500,2023-08-16
ACC000121,Servicios Regional Sol Group,121,Media & Entertainment,Enterprise,Jr. Concepcion 926,Antofagasta,Antofagasta,14001,Customer,78854839,500,2020-06-07
ACC000122,Inversiones Nacional Norte Holdings,122,Local Government,Public Sector,Av. Valparaiso 704,Valparaiso,Valparaiso,04001,Partner,207249940,500,2020-11-28
ACC000123,Servicios Fernandez Sierra S.A.,123,NHS Trust,Public Sector,Paseo de la Republica 1198,Rancagua,Rancagua,12001,Prospect,4880297,50,2021-04-24
ACC000124,Servicios Regional Regional S.R.L.,124,Healthcare,Enterprise,Calle Las Begonias 1265,San Borja,Santiago,15037,Partner,229766817,500,2024-07-30
ACC000125,Comercial Lopez Regional S.A.C.,125,Healthcare,Enterprise,Calle Las Begonias 1373,Concepcion,Concepcion,08001,Partner,461966294,250,2021-08-06
ACC000126,Grupo Regional Sur Holdings,126,Technology,Enterprise,Av. Javier Prado 1779,Tacna,Tacna,23001,Customer,7060815,5,2022-03-22
ACC000127,Inversiones Central Sur E.I.R.L.,127,Hospitality,SMB,Av. Primavera 240,Cayma,Valparaiso,04006,Customer,2550300,10,2020-03-19
ACC000128,Comercial Rodriguez Lopez Chile,128,Hospitality,SMB,Av. Valparaiso 1409,Vina del Mar,Vina del Mar,07001,Customer,120778757,500,2023-01-28
ACC000129,Grupo Oriente Sanchez S.A.C.,129,Telecommunications,Partner,Av. La Encalada 1595,Iquique,Iquique,16001,Customer,122696060,5000,2020-05-08
ACC000130,Corporacion Costa Oriente Chile,130,Construction,SMB,Av. Larco 593,Miraflores,Santiago,15074,Customer,235445876,250,2023-06-13
ACC000131,Inversiones Lopez Sierra S.R.L.,131,Healthcare,Public Sector,Av. Brasil 957,Miraflores,Santiago,15074,Partner,277369483,5000,2023-02-08
ACC000132,Corporacion Oriente Sanchez S.A.C.,132,Construction,Enterprise,Av. Valparaiso 1383,Tacna,Tacna,23001,Customer,4145421,5,2024-04-29
ACC000133,Inversiones Andina Oriente S.A.C.,133,Technology,SMB,Av. Javier Prado 1152,Copiapo,Copiapo,13001,Prospect,3158117,10,2020-05-09
ACC000134,Grupo Fernandez Chile del Chile,134,Construction,Enterprise,Av. Angamos 139,Iquique,Iquique,16001,Prospect,155768692,5000,2021-06-02
ACC000135,Industrias Martinez Costa S.R.L.,135,Financial Services,SMB,Av. Valparaiso 151,Rancagua,Rancagua,12001,Customer,239586485,2500,2024-03-02
ACC000136,Comercial Norte Sol S.A.C.,136,Transport & Logistics,SMB,Av. Ejercito 1275,Miraflores,Santiago,15074,Prospect,1424175,50,2023-05-18
ACC000137,Industrias Gonzalez Garcia Group,137,Financial Services,Enterprise,Av. La Marina 1581,Santiago,Santiago,15001,Partner,48661542,100,2020-12-07
ACC000138,Grupo Oriente Rodriguez Holdings,138,Telecommunications,Partner,Av. El Sol 1175,Rancagua,Rancagua,12001,Customer,30143709,5000,2022-01-14
ACC000139,Corporacion Garcia Gonzalez del Chile,139,Legal Services,Enterprise,Av. Benavides 588,Concepcion,Concepcion,08001,Customer,6175878,50,2023-03-07
ACC000140,Corporacion Chile Continental S.R.L.,140,Legal Services,SMB,Av. Benavides 1878,Miraflores,Santiago,15074,Partner,202004753,2500,2021-10-05
ACC000141,Central Lopez del Chile,141,Recruitment,SMB,Jr. de la Union 710,San Borja,Santiago,15037,Customer,4466937,50,2021-03-15
ACC000142,Servicios Sierra Oriente Chile,142,Healthcare,Enterprise,Paseo de la Republica 1443,Valparaiso,Valparaiso,04001,Customer,440140968,10000,2024-09-27
ACC000143,Inversiones Costa Selva del Chile,143,Real Estate,Enterprise,Av. Benavides 1218,Puno,Puno,21001,Customer,6164832,100,2021-04-04
ACC000144,Industrias Sol Andina Holdings,144,Education,Public Sector,Av. Primavera 1792,San Borja,Santiago,15037,Customer,333537272,250,2020-05-14
ACC000145,Inversiones Lopez Chile Group,145,Healthcare,Enterprise,Av. La Encalada 133,Valparaiso,Valparaiso,04001,Customer,246578217,2500,2023-10-24
ACC000146,Industrias Costa Andina del Chile,146,Education,Public Sector,Jr. Concepcion 1527,Rancagua,Rancagua,12001,Partner,2667173,25,2020-12-03
ACC000147,Corporacion Inca Martinez del Chile,147,Insurance,Enterprise,Av. Benavides 1401,San Isidro,Santiago,15036,Partner,4704524,10,2023-07-04
ACC000148,Empresa Rodriguez Costa del Chile,148,Construction,Enterprise,Av. Primavera 800,San Isidro,Santiago,15036,Customer,48606188,250,2023-08-06
ACC000149,Corporacion Rodriguez Central S.A.,149,Legal Services,Enterprise,Av. Benavides 338,Concepcion,Concepcion,08001,Partner,19939535,50,2022-09-16
ACC000150,Inversiones Continental Sierra S.R.L.,150,Manufacturing,SMB,Av. El Sol 249,Puno,Puno,21001,Prospect,139990173,5000,2021-02-21
ACC000151,Empresa Continental Rodriguez Chile,151,Retail,Enterprise,Av. Valparaiso 686,Surco,Santiago,15038,Partner,1881470,25,2021-05-10
ACC000152,Torres Garcia Chile,152,Manufacturing,SMB,Jr. Puno 359,Cayma,Valparaiso,04006,Customer,2779315,25,2023-03-29
ACC000153,Grupo Regional Costa Holdings,153,Real Estate,Enterprise,Av. Benavides 1766,Cayma,Valparaiso,04006,Prospect,16221341,500,2022-03-16
ACC000154,Inversiones Rodriguez Nacional del Chile,154,Construction,Enterprise,Av. La Encalada 147,Surco,Santiago,15038,Prospect,4894062,100,2020-01-17
ACC000155,Industrias Inca Chile S.R.L.,155,Transport & Logistics,Enterprise,Av. La Marina 1021,Concepcion,Concepcion,08001,Partner,109504769,1000,2023-02-07
ACC000156,Industrias Rodriguez Fernandez Chile,156,Financial Services,SMB,Paseo de la Republica 1920,Iquique,Iquique,16001,Prospect,205359330,1000,2023-02-16
ACC000157,Inversiones Lopez Torres Holdings,157,Construction,Enterprise,Av. La Marina 1129,Temuco,Temuco,20001,Customer,436625882,2500,2022-11-29
ACC000158,Inversiones Pacifico Inca Chile,158,Insurance,Enterprise,Av. La Marina 1291,Miraflores,Santiago,15074,Partner,5743410,100,2024-08-23
ACC000159,Comercial Sierra Martinez S.R.L.,159,Telecommunications,Partner,Av. El Sol 1365,Temuco,Temuco,20001,Prospect,9892896,25,2024-06-19
ACC000160,Comercial Pacifico Sanchez S.A.,160,Healthcare,Public Sector,Av. Valparaiso 783,San Isidro,Santiago,15036,Prospect,55771483,5000,2020-10-29
ACC000161,Corporacion Rodriguez Lopez Group,161,Transport & Logistics,SMB,Av. La Marina 676,San Borja,Santiago,15037,Partner,28213283,25,2022-04-20
ACC000162,Comercial Norte Sierra E.I.R.L.,162,Education,Enterprise,Paseo de la Republica 1361,Iquique,Iquique,16001,Prospect,8916043,50,2021-10-04
ACC000163,Empresa Norte Sierra Holdings,163,Financial Services,SMB,Paseo de la Republica 474,Copiapo,Copiapo,13001,Customer,9463140,25,2021-04-05
ACC000164,Central Inca del Chile,164,Hospitality,Enterprise,Jr. de la Union 306,Antofagasta,Antofagasta,14001,Customer,159505744,250,2023-03-20
ACC000165,Industrias Lopez Sol Chile,165,Healthcare,SMB,Av. Ejercito 517,Miraflores,Santiago,15074,Customer,190952495,2500,2023-09-05
ACC000166,Fernandez Continental del Chile,166,NHS Trust,Public Sector,Av. Angamos 1455,Vina del Mar,Vina del Mar,07001,Customer,4167770,5,2023-10-03
ACC000167,Grupo Lopez Chile Chile,167,NHS Trust,Public Sector,Av. La Encalada 1544,Surco,Santiago,15038,Customer,186930,100,2020-11-19
ACC000168,Pacifico Martinez del Chile,168,Charity,SMB,Av. Larco 1583,Cayma,Valparaiso,04006,Customer,355200214,5000,2021-04-20
ACC000169,Industrias Nacional Sur Chile,169,Healthcare,Enterprise,Av. Larco 679,Cayma,Valparaiso,04006,Customer,475697906,250,2020-01-19
ACC000170,Comercial Torres Continental del Chile,170,Retail,Enterprise,Av. Larco 1108,Copiapo,Copiapo,13001,Customer,108514831,250,2021-11-08
ACC000171,Corporacion Fernandez Sol Group,171,Local Government,Public Sector,Av. Primavera 1785,Vina del Mar,Vina del Mar,07001,Customer,3044316,100,2024-10-19
ACC000172,Fernandez Sierra S.A.C.,172,Legal Services,Enterprise,Av. La Encalada 1777,Antofagasta,Antofagasta,14001,Prospect,5529135,10,2020-01-14
ACC000173,Comercial Gonzalez Regional S.A.C.,173,Real Estate,SMB,Jr. Puno 362,Copiapo,Copiapo,13001,Customer,2083483,50,2021-09-20
ACC000174,Comercial Regional Oriente Holdings,174,Central Government,Public Sector,Jr. Puno 1807,Temuco,Temuco,20001,Prospect,2670027,50,2024-03-11
ACC000175,Inversiones Rodriguez Garcia S.A.,175,Healthcare,Public Sector,Av. Angamos 445,Surco,Santiago,15038,Customer,287129237,2500,2022-12-17
ACC000176,Grupo Continental Rodriguez S.A.,176,Professional Services,Enterprise,Av. Angamos 325,Cayma,Valparaiso,04006,Customer,149678118,5000,2020-08-26
