opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000015,15.0,ACC000622,Proyecto Internet Hogar 1500 Mbps Cineplanet,Closed Won,470945.77,100.0,2022-10-19,2022-08-04,Partner,Expansion,31668.0
OPP00000016,16.0,ACC000411,Proyecto Internet Hogar 5000 Mbps Metro,Closed Lost,331950.77,0.0,2022-05-06,2022-04-12,Redes Sociales,Expansion,8097.0
OPP00000017,17.0,ACC000531,Empresas Business 2500 Mbps Corporativo - Graña y Montero,Closed Won,157394.18,100.0,2023-06-20,2022-02-06,Partner,Renovacion,
OPP00000018,18.0,ACC000456,UTEC Fibra Optica Conectividad Corporativa,Closed Won,172109.73,100.0,2022-03-16,2022-02-03,Partner,Upgrade,
OPP00000019,19.0,ACC000584,Ministerio de Salud Instalacion Fibra,Closed Lost,403515.1,0.0,2024-11-20,2022-01-18,WhatsApp,Expansion,
OPP00000020,20.0,ACC000330,Seguridad Perimetral UTM Corporativo - Metro,Negotiation,380557.16,71.1,2025-02-04,2024-08-08,Llamada Directa,Expansion,20335.0
OPP00000021,21.0,ACC000899,Migracion de Red Duo 5000 Mbps + WOM TvGo + L1MAX - Yanbal,Closed Won,290696.48,100.0,2024-07-01,2022-02-10,Telemarketing,Cross-Sell,
OPP00000022,22.0,ACC000535,Laive Red Privada,Closed Lost,39662.14,0.0,2024-01-03,2021-11-04,Llamada Directa,Cross-Sell,
OPP00000023,23.0,ACC000538,Universidad Cesar Vallejo Fibra Optica Despliegue,Closed Won,244593.11,100.0,2024-11-20,2021-11-06,Partner,Expansion,
OPP00000024,24.0,ACC000763,Municipalidad de Valparaiso Fibra Optica Infraestructura,Discovery,100657.14,17.4,2024-04-19,2023-06-18,Llamada Directa,Renovacion,31496.0
OPP00000025,25.0,ACC000373,JJC Contratistas Conectividad Corporativa,Closed Won,366938.51,100.0,2024-02-26,2021-12-28,Referencia Cliente,Renovacion,
OPP00000026,26.0,ACC000818,Clinica Internacional Infraestructura,Closed Lost,99766.04,0.0,2023-03-10,2022-03-11,Web,Expansion,
OPP00000027,27.0,ACC000202,Southern Chile Fibra Optica Proyecto TV Digital,Closed Lost,325108.38,0.0,2023-04-09,2023-04-21,Telemarketing,Upgrade,3162.0
OPP00000028,28.0,ACC000384,Clinica Ricardo Palma Fibra Optica Transformacion Digital,Closed Lost,465375.45,0.0,2023-11-21,2022-01-08,Llamada Directa,Cross-Sell,
OPP00000029,29.0,ACC000550,Empresas Enterprise 5000 Mbps - Osiptel,Discovery,138719.61,10.2,2023-07-17,2021-11-04,Redes Sociales,Renovacion,
OPP00000030,30.0,ACC000852,Hochschild Mining - Duo 5000 Mbps + WOM TvGo + L1MAX Instalacion Fibra,Closed Won,22370.98,100.0,2025-04-09,2025-03-08,Telemarketing,Upgrade,21357.0
OPP00000031,31.0,ACC000342,Proyecto Empresas Professional 1500 Mbps UPN,Proposal,317223.27,42.6,2022-11-04,2022-07-27,Llamada Directa,Cross-Sell,21208.0
OPP00000032,32.0,ACC000183,UPN Fibra Optica Despliegue,Closed Won,317514.35,100.0,2024-09-15,2024-04-27,Redes Sociales,Expansion,15843.0
OPP00000033,33.0,ACC000462,Telefonica del Chile - IP Publica Fija Proyecto TV Digital,Closed Won,187704.08,100.0,2023-04-29,2021-12-14,Partner,Nuevo Cliente,
OPP00000034,34.0,ACC000700,Sodimac Implementacion,Negotiation,470138.03,58.7,2023-02-16,2022-12-01,Web,Expansion,19415.0
OPP00000035,35.0,ACC000341,Transformacion Digital VPN Segura Corporativa - Enel Chile,Qualification,255467.21,34.9,2025-06-10,2024-12-27,Referencia Cliente,Renovacion,12053.0
OPP00000036,36.0,ACC000873,Proyecto VPN Segura Corporativa Bitel,Prospecting,41164.48,8.7,2025-02-28,2022-02-21,Partner,Nuevo Cliente,
OPP00000037,37.0,ACC000282,Clinica Ricardo Palma Despliegue,Proposal,274943.46,53.7,2022-06-12,2022-01-12,Referencia Cliente,Nuevo Cliente,
OPP00000038,38.0,ACC000819,WOM TvGo Premium Corporativo - Plaza Vea,Closed Won,178365.02,100.0,2022-09-22,2022-08-13,Telemarketing,Upgrade,28553.0
OPP00000039,39.0,ACC000303,Maestro Fibra Optica Migracion de Red,Proposal,240203.42,46.2,2025-09-01,2022-01-07,Evento,Cross-Sell,
OPP00000040,40.0,ACC000077,Municipalidad de Valparaiso - Duo 1500 Mbps + WOM TvGo + L1MAX Seguridad de Red,Closed Won,238094.28,100.0,2025-05-02,2025-01-15,Web,Upgrade,23229.0
OPP00000041,41.0,ACC000760,Unique - Mesh WiFi System Migracion de Red,Negotiation,16580.5,73.1,2025-08-15,2021-12-20,Referencia Cliente,Cross-Sell,
OPP00000042,42.0,ACC000654,Solucion Empresarial Mesh WiFi System - Luz del Sur,Negotiation,422594.19,73.7,2023-01-17,2022-09-07,Referencia Cliente,Upgrade,13465.0
OPP00000043,43.0,ACC000424,Municipalidad de Valparaiso Fibra Optica Instalacion Fibra,Negotiation,183618.45,56.2,2022-07-12,2021-11-29,WhatsApp,Upgrade,
OPP00000044,44.0,ACC000081,Internet Hogar 5000 Mbps Corporativo - Enel Chile,Closed Won,215981.42,100.0,2024-06-10,2024-03-19,Redes Sociales,Nuevo Cliente,22018.0
OPP00000045,45.0,ACC000713,Seguridad de Red Empresas Professional 1500 Mbps - Telefonica del Chile,Closed Won,449011.22,100.0,2025-01-31,2024-04-17,Web,Cross-Sell,20742.0
OPP00000046,46.0,ACC000979,Latam Airlines Chile Implementacion,Proposal,455149.72,54.2,2023-08-31,2022-11-09,Referencia Cliente,Upgrade,23861.0
OPP00000047,47.0,ACC000543,Hospital Rebagliati Fibra Optica Instalacion Fibra,Closed Won,493279.94,100.0,2025-02-01,2021-12-11,Evento,Nuevo Cliente,
OPP00000048,48.0,ACC000977,Sunat Transformacion Digital,Discovery,233633.56,24.4,2022-04-14,2022-04-24,Web,Upgrade,42130.0
OPP00000049,49.0,ACC000049,Migracion de Red WOM TvGo Premium - Cosapi,Negotiation,33882.71,68.4,2024-10-24,2024-11-11,Web,Expansion,39998.0
OPP00000050,50.0,ACC000776,Casa Andina Transformacion Digital,Proposal,406769.05,44.7,2022-05-13,2022-02-18,Llamada Directa,Nuevo Cliente,
OPP00000051,51.0,ACC000131,Sunat Despliegue,Closed Won,198021.36,100.0,2025-04-13,2024-12-30,Evento,Cross-Sell,48824.0
OPP00000052,52.0,ACC000185,WOM TvGo + L1MAX - Luz del Sur,Closed Won,473027.95,100.0,2023-06-10,2022-10-08,Telemarketing,Renovacion,45105.0
OPP00000053,53.0,ACC000771,Mesh WiFi System - Mifarma,Closed Lost,146104.71,0.0,2025-04-09,2022-04-05,Evento,Expansion,
OPP00000054,54.0,ACC000569,Volcan Despliegue,Closed Won,390169.8,100.0,2022-07-10,2022-01-24,Telemarketing,Cross-Sell,
OPP00000055,55.0,ACC000586,Internet Hogar 1500 Mbps - Sedalib,Closed Won,21333.91,100.0,2024-08-16,2021-11-19,Web,Nuevo Cliente,
OPP00000056,56.0,ACC000022,Internet Hogar 2500 Mbps Corporativo - Mifarma,Prospecting,15377.51,19.0,2022-03-27,2021-12-14,Llamada Directa,Upgrade,
OPP00000057,57.0,ACC000023,Internet Hogar 2500 Mbps Corporativo - Enel Chile,Negotiation,107343.42,58.7,2024-12-27,2024-11-04,Evento,Renovacion,38445.0
OPP00000058,58.0,ACC000125,Ministerio de Salud - Duo 500 Mbps + WOM TvGo Upgrade Velocidad,Negotiation,353527.99,78.9,2022-08-05,2022-08-13,Telemarketing,Cross-Sell,10902.0
OPP00000059,59.0,ACC000239,Proyecto WOM TvGo + L1MAX Auna,Closed Won,177711.94,100.0,2024-04-16,2023-08-03,Llamada Directa,Cross-Sell,49839.0
OPP00000060,60.0,ACC000998,Proyecto Mesh WiFi System UPN,Closed Won,283110.93,100.0,2025-08-19,2025-04-04,Web,Upgrade,39674.0
OPP00000061,61.0,ACC000613,Gobierno Regional de Copiapo Infraestructura,Closed Lost,266821.23,0.0,2024-03-30,2022-03-29,Web,Renovacion,
OPP00000062,62.0,ACC000758,Movistar Chile Fibra Optica Implementacion,Proposal,430386.11,58.8,2022-03-10,2021-12-22,Referencia Cliente,Cross-Sell,
OPP00000063,63.0,ACC000386,Proyecto Soporte Empresarial 24/7 Viva Airlines,Closed Won,37421.03,100.0,2024-12-21,2024-03-12,Partner,Nuevo Cliente,46503.0
OPP00000064,64.0,ACC000549,Clinica Internacional Migracion de Red,Proposal,313183.97,44.8,2023-05-04,2023-05-21,Evento,Renovacion,41984.0
OPP00000065,65.0,ACC000138,Proyecto Internet Hogar 2500 Mbps BBVA Chile,Closed Won,479529.33,100.0,2023-05-18,2022-01-03,Llamada Directa,Cross-Sell,
OPP00000066,66.0,ACC000686,Hilton Santiago Expansion Fibra,Proposal,270499.36,51.2,2025-09-23,2025-05-07,Evento,Renovacion,1027.0
OPP00000067,67.0,ACC000463,Essalud Fibra Optica Migracion de Red,Closed Lost,9635.02,0.0,2024-11-13,2021-11-27,Partner,Renovacion,
OPP00000068,68.0,ACC000640,Internet Hogar 1500 Mbps - Caja Sullana,Closed Lost,236134.44,0.0,2024-08-05,2021-11-29,Llamada Directa,Nuevo Cliente,
OPP00000069,69.0,ACC000938,Petroperu Migracion de Red,Closed Won,432116.88,100.0,2024-12-19,2024-11-03,Telemarketing,Upgrade,42047.0
OPP00000070,70.0,ACC000712,Mifarma Red Privada,Closed Lost,426902.48,0.0,2023-05-19,2022-08-04,WhatsApp,Renovacion,28456.0
OPP00000071,71.0,ACC000766,Proyecto WOM TvGo + L1MAX Hospital Rebagliati,Closed Lost,195145.89,0.0,2023-01-29,2023-01-08,WhatsApp,Cross-Sell,38164.0
OPP00000072,72.0,ACC000189,WiFi 6 Router Upgrade Corporativo - Clinica Internacional,Closed Lost,62634.62,0.0,2023-09-21,2022-12-01,Web,Expansion,10538.0
OPP00000073,73.0,ACC000929,Claro Chile Seguridad de Red,Negotiation,442653.77,57.9,2024-05-02,2021-12-09,WhatsApp,Renovacion,
OPP00000074,74.0,ACC000111,Ministerio de Salud - Internet Hogar 5000 Mbps Migracion de Red,Qualification,304444.18,46.1,2025-01-22,2024-12-04,Telemarketing,Upgrade,17624.0
OPP00000075,75.0,ACC000725,Claro Chile - Empresas Enterprise Plus Simetrico Proyecto TV Digital,Closed Won,35737.86,100.0,2026-02-02,2022-03-06,Telemarketing,Renovacion,
OPP00000076,76.0,ACC000192,Municipalidad de Santiago Fibra Optica Instalacion Fibra,Closed Won,262756.76,100.0,2022-07-20,2022-06-23,Evento,Upgrade,46772.0
OPP00000077,77.0,ACC000958,Caja Temuco - Soporte Empresarial 24/7 Migracion de Red,Prospecting,126459.67,18.2,2024-01-01,2023-10-30,Partner,Cross-Sell,26635.0
OPP00000078,78.0,ACC000333,Saga Falabella Despliegue,Closed Won,358495.46,100.0,2025-07-12,2022-02-14,Telemarketing,Upgrade,
OPP00000079,79.0,ACC000477,Enel Chile - Duo 2500 Mbps + WOM TvGo + L1MAX Expansion Fibra,Proposal,166997.2,64.2,2023-08-13,2022-01-03,Telemarketing,Nuevo Cliente,
OPP00000080,80.0,ACC000758,Proyecto TV Digital Duo 500 Mbps + WOM TvGo - UPC,Negotiation,35081.23,62.7,2023-04-10,2023-04-24,Evento,Expansion,8143.0
OPP00000081,81.0,ACC000128,Wong - Enlace Dedicado 1 Gbps Expansion Fibra,Qualification,222194.64,23.4,2023-07-04,2023-07-19,Telemarketing,Cross-Sell,6113.0
OPP00000082,82.0,ACC000003,Caja Rancagua Fibra Optica Migracion de Red,Proposal,482608.38,45.2,2022-10-29,2022-08-21,Redes Sociales,Upgrade,20213.0
OPP00000083,83.0,ACC000290,WOM TvGo + L1MAX Corporativo - Plaza Vea,Qualification,54230.82,41.0,2023-01-20,2021-12-01,Telemarketing,Cross-Sell,
OPP00000084,84.0,ACC000663,Claro Chile - Duo 5000 Mbps + WOM TvGo + L1MAX Upgrade Velocidad,Closed Won,153078.09,100.0,2024-08-22,2022-01-12,Referencia Cliente,Expansion,
OPP00000085,85.0,ACC000619,IP Publica Fija - Movistar Chile,Closed Won,156305.72,100.0,2023-07-01,2023-07-21,Referencia Cliente,Expansion,46475.0
OPP00000086,86.0,ACC000211,BCP - Duo 1500 Mbps + WOM TvGo + L1MAX Proyecto TV Digital,Closed Won,382543.32,100.0,2023-02-15,2022-02-22,Partner,Expansion,
OPP00000087,87.0,ACC000261,Indecopi - Empresas Professional 1500 Mbps Seguridad de Red,Closed Won,134767.86,100.0,2025-03-27,2024-06-19,Evento,Expansion,21469.0
OPP00000088,88.0,ACC000197,Gobierno Regional de Temuco Fibra Optica Proyecto TV Digital,Prospecting,208304.73,18.3,2022-02-17,2022-01-31,Referencia Cliente,Expansion,
OPP00000089,89.0,ACC000788,SIS - WOM TvGo + L1MAX Red Privada,Closed Lost,303075.25,0.0,2024-05-02,2024-01-09,Referencia Cliente,Nuevo Cliente,42007.0
OPP00000090,90.0,ACC000183,Buenaventura Expansion Fibra,Closed Won,202943.65,100.0,2025-01-16,2022-02-10,Redes Sociales,Nuevo Cliente,
OPP00000091,91.0,ACC000270,Proyecto Internet Hogar 1500 Mbps Banco de la Nacion,Negotiation,91403.17,76.3,2023-05-02,2022-07-16,Llamada Directa,Upgrade,45330.0
OPP00000092,92.0,ACC000271,Internet Hogar 1500 Mbps - Hochschild Mining,Closed Won,386844.29,100.0,2025-07-29,2025-06-26,Llamada Directa,Expansion,31572.0
OPP00000093,93.0,ACC000432,Proyecto Internet Hogar 1500 Mbps Inkafarma,Prospecting,300450.02,16.2,2022-05-02,2022-05-14,WhatsApp,Renovacion,39708.0
OPP00000094,94.0,ACC000689,Proyecto WOM TvGo Premium Caja Temuco,Proposal,175188.93,42.2,2023-09-03,2023-04-18,Referencia Cliente,Cross-Sell,15643.0
OPP00000095,95.0,ACC000182,Proyecto Internet Hogar 2500 Mbps Caja Sullana,Closed Lost,294633.98,0.0,2022-10-02,2021-12-11,Llamada Directa,Expansion,
OPP00000096,96.0,ACC000193,Oncosalud - Internet Hogar 2500 Mbps Red Privada,Qualification,349811.34,43.5,2022-10-18,2022-09-08,Web,Expansion,31139.0
OPP00000097,97.0,ACC000842,Proyecto Internet Hogar 5000 Mbps Clinica Internacional,Negotiation,58232.05,52.7,2022-03-22,2022-04-11,WhatsApp,Cross-Sell,15526.0
OPP00000098,98.0,ACC000674,Mesh WiFi System - Graña y Montero,Closed Won,413108.84,100.0,2023-04-14,2022-01-07,Telemarketing,Nuevo Cliente,
OPP00000099,99.0,ACC000115,Proyecto Enlace Dedicado 500 Mbps Westin Santiago,Closed Won,269459.73,100.0,2022-12-08,2022-01-16,Telemarketing,Cross-Sell,
OPP00000100,100.0,ACC000008,Auna Despliegue,Negotiation,462080.72,70.7,2023-09-22,2022-12-08,Evento,Upgrade,9416.0
OPP00000101,101.0,ACC000956,Hochschild Mining Infraestructura,Proposal,98362.76,48.7,2024-07-07,2024-05-17,Partner,Nuevo Cliente,20735.0
OPP00000102,102.0,ACC000119,Paris Fibra Optica Proyecto TV Digital,Closed Won,457491.58,100.0,2024-04-30,2024-02-26,Referencia Cliente,Nuevo Cliente,38785.0
OPP00000103,103.0,ACC000281,Implementacion Soporte Empresarial 24/7 - Cineplanet,Closed Won,437336.91,100.0,2025-04-03,2024-12-03,Evento,Expansion,30471.0
OPP00000104,104.0,ACC000480,Interbank - Seguridad Perimetral UTM Migracion de Red,Closed Won,324200.36,100.0,2022-07-31,2022-04-10,Redes Sociales,Expansion,43722.0
OPP00000105,105.0,ACC000972,Mesh WiFi System - Tottus,Qualification,474902.5,21.4,2024-04-21,2024-01-28,Telemarketing,Expansion,29617.0
OPP00000106,106.0,ACC000356,Expansion Fibra WOM TvGo + L1MAX - Repsol Chile,Closed Won,162829.72,100.0,2023-05-20,2021-11-06,Evento,Renovacion,
OPP00000107,107.0,ACC000493,Caja Sullana Despliegue,Discovery,171902.59,21.7,2024-08-31,2023-10-24,Llamada Directa,Expansion,42349.0
OPP00000108,108.0,ACC000965,PUCP - Empresas Enterprise Plus Simetrico Implementacion,Closed Won,94239.46,100.0,2023-08-15,2023-05-31,Referencia Cliente,Renovacion,26114.0
OPP00000109,109.0,ACC000816,Proyecto WOM TvGo + L1MAX Las Bambas,Negotiation,371742.01,59.8,2025-07-29,2024-10-31,Referencia Cliente,Renovacion,17521.0
OPP00000110,110.0,ACC000794,Interbank Fibra Optica Transformacion Digital,Closed Won,426259.59,100.0,2025-10-27,2025-09-16,Web,Expansion,42849.0
OPP00000111,111.0,ACC000591,WOM TvGo + L1MAX - Ministerio de Salud,Closed Lost,83800.37,0.0,2024-09-20,2024-06-06,Referencia Cliente,Expansion,45495.0
OPP00000112,112.0,ACC000503,Duo 500 Mbps + WOM TvGo - Ripley,Closed Won,233270.06,100.0,2022-10-20,2022-06-23,Telemarketing,Renovacion,17987.0
OPP00000113,113.0,ACC000823,Transformacion Digital VPN Segura Corporativa - Maestro,Closed Won,496838.72,100.0,2024-02-06,2021-12-08,Llamada Directa,Upgrade,
OPP00000114,114.0,ACC000818,Universidad Cesar Vallejo Fibra Optica Conectividad Corporativa,Closed Won,229662.73,100.0,2022-09-15,2022-05-27,Evento,Upgrade,8908.0
OPP00000115,115.0,ACC000064,Municipalidad de Valparaiso Fibra Optica Expansion Fibra,Closed Won,99155.23,100.0,2022-12-21,2022-09-01,Referencia Cliente,Nuevo Cliente,33184.0
OPP00000116,116.0,ACC000414,Transformacion Digital Empresas Professional 1500 Mbps - Mifarma,Closed Won,269028.59,100.0,2023-01-07,2022-03-10,Evento,Nuevo Cliente,
OPP00000117,117.0,ACC000270,JJC Contratistas - Internet Hogar 1500 Mbps Migracion de Red,Negotiation,304365.06,78.5,2023-08-05,2021-11-17,Llamada Directa,Upgrade,
OPP00000118,118.0,ACC000115,Instalacion Fibra Empresas Professional 1500 Mbps - BCP,Closed Lost,414374.49,0.0,2025-04-27,2021-11-15,Llamada Directa,Renovacion,
OPP00000119,119.0,ACC000908,Upgrade Velocidad Seguridad Perimetral UTM - JJC Contratistas,Closed Won,208737.98,100.0,2023-01-16,2022-07-20,Partner,Cross-Sell,21773.0
OPP00000120,120.0,ACC000581,Proyecto Duo 1500 Mbps + WOM TvGo + L1MAX Viva Airlines,Closed Won,459080.08,100.0,2025-06-21,2024-09-05,Redes Sociales,Cross-Sell,41614.0
OPP00000121,121.0,ACC000245,Cloud Backup Empresarial - EPS Grau,Proposal,199178.69,68.1,2024-08-30,2024-04-09,Partner,Renovacion,45418.0
OPP00000122,122.0,ACC000327,Gobierno Regional de Copiapo Migracion de Red,Discovery,33929.71,13.3,2022-09-18,2022-08-03,Redes Sociales,Cross-Sell,48043.0
OPP00000123,123.0,ACC000012,Proyecto WOM TvGo + L1MAX Belcorp,Closed Won,106489.19,100.0,2023-11-24,2023-03-16,Llamada Directa,Upgrade,13886.0
OPP00000124,124.0,ACC000545,Latam Airlines Chile Upgrade Velocidad,Qualification,62695.41,30.6,2024-10-27,2021-12-21,Evento,Renovacion,
OPP00000125,125.0,ACC000453,Internet Hogar 1500 Mbps Corporativo - Laive,Closed Won,411897.18,100.0,2022-11-18,2022-07-23,Web,Upgrade,10422.0
OPP00000126,126.0,ACC000489,Universidad Cesar Vallejo Fibra Optica Despliegue,Negotiation,493528.15,57.6,2022-11-16,2021-12-02,Partner,Expansion,
OPP00000127,127.0,ACC000109,Red Privada Duo 5000 Mbps + WOM TvGo + L1MAX - Saga Falabella,Closed Lost,393110.39,0.0,2022-10-26,2022-02-18,Web,Upgrade,
OPP00000128,128.0,ACC000181,Proyecto Seguridad Perimetral UTM Claro Chile,Proposal,314684.58,44.3,2025-11-15,2021-11-01,Referencia Cliente,Nuevo Cliente,
OPP00000129,129.0,ACC000677,VPN Segura Corporativa Corporativo - Oncosalud,Prospecting,253270.84,9.1,2024-11-16,2021-11-24,Partner,Cross-Sell,
OPP00000130,130.0,ACC000387,USIL - Duo 1500 Mbps + WOM TvGo + L1MAX Seguridad de Red,Prospecting,38412.13,13.2,2023-06-13,2022-03-13,Web,Expansion,
OPP00000131,131.0,ACC000984,Upgrade Velocidad Internet Hogar 500 Mbps - Banco de la Nacion,Closed Won,471962.56,100.0,2025-08-31,2021-12-16,Web,Cross-Sell,
OPP00000132,132.0,ACC000473,Enlace Dedicado 500 Mbps Corporativo - Ministerio de Educacion,Closed Won,238415.06,100.0,2022-03-30,2022-04-10,Redes Sociales,Expansion,426.0
OPP00000133,133.0,ACC000203,Seguridad de Red VPN Segura Corporativa - Clinica Internacional,Proposal,304799.83,66.2,2022-12-10,2022-08-05,Redes Sociales,Expansion,45406.0
OPP00000134,134.0,ACC000609,Duo 1500 Mbps + WOM TvGo + L1MAX - Gobierno Regional de Temuco,Closed Won,233301.84,100.0,2022-09-19,2022-01-10,Telemarketing,Expansion,
OPP00000135,135.0,ACC000545,UVK Multicines Instalacion Fibra,Negotiation,355637.24,57.5,2024-11-11,2024-02-22,Redes Sociales,Upgrade,3851.0
OPP00000136,136.0,ACC000105,Solucion Empresarial Duo 2500 Mbps + WOM TvGo + L1MAX - Backus,Closed Won,322324.13,100.0,2022-12-08,2022-07-14,Evento,Expansion,27592.0
OPP00000137,137.0,ACC000743,Scotiabank Chile Fibra Optica Expansion Fibra,Prospecting,291641.74,11.9,2025-02-05,2024-04-20,Evento,Renovacion,41067.0
OPP00000138,138.0,ACC000864,Proyecto TV Digital Duo 2500 Mbps + WOM TvGo + L1MAX - Gloria,Qualification,287953.58,25.3,2023-06-08,2022-02-27,WhatsApp,Renovacion,
OPP00000139,139.0,ACC000681,Seguridad de Red Internet Hogar 2500 Mbps - Antamina,Closed Lost,124526.4,0.0,2023-02-10,2022-02-08,Referencia Cliente,Upgrade,
OPP00000140,140.0,ACC000361,Movistar Chile Fibra Optica Transformacion Digital,Negotiation,289257.97,51.9,2024-03-31,2022-01-18,Evento,Renovacion,
OPP00000141,141.0,ACC000714,WOM TvGo + L1MAX - Scotiabank Chile,Discovery,461710.63,10.6,2025-06-16,2021-12-18,Telemarketing,Expansion,
OPP00000142,142.0,ACC000695,Upgrade Velocidad Empresas Professional 1500 Mbps - Westin Santiago,Proposal,228088.56,62.4,2023-08-20,2022-03-02,Evento,Cross-Sell,
OPP00000143,143.0,ACC000706,Hotel Libertador - Internet Hogar 1500 Mbps Migracion de Red,Prospecting,238617.62,10.6,2023-02-17,2022-09-21,Web,Renovacion,15640.0
OPP00000144,144.0,ACC000985,Infraestructura Empresas Enterprise Plus Simetrico - Indecopi,Closed Won,410491.41,100.0,2024-05-30,2024-05-06,Telemarketing,Upgrade,7482.0
OPP00000145,145.0,ACC000874,Enlace Dedicado 500 Mbps - Petroperu,Qualification,279338.26,27.7,2024-02-24,2023-11-17,Partner,Nuevo Cliente,43298.0
OPP00000146,146.0,ACC000546,Conectividad Corporativa Enlace Dedicado 100 Mbps - UTEC,Proposal,29078.39,65.5,2023-08-20,2021-11-22,Telemarketing,Upgrade,
OPP00000147,147.0,ACC000032,Internet Hogar 1500 Mbps - Latam Airlines Chile,Closed Lost,396717.84,0.0,2023-11-28,2023-05-26,Web,Cross-Sell,2221.0
OPP00000148,148.0,ACC000324,Enel Chile Fibra Optica Seguridad de Red,Proposal,305021.95,69.4,2023-10-16,2021-12-27,WhatsApp,Upgrade,
OPP00000149,149.0,ACC000149,Banco de la Nacion Fibra Optica Infraestructura,Closed Won,7646.23,100.0,2023-04-25,2021-11-26,WhatsApp,Renovacion,
OPP00000150,150.0,ACC000250,Duo 2500 Mbps + WOM TvGo + L1MAX - Latam Airlines Chile,Proposal,210248.99,58.7,2024-04-12,2023-08-19,Telemarketing,Renovacion,33268.0
OPP00000151,151.0,ACC000275,Despliegue Fibra Corporativa - Graña y Montero,Negotiation,97554.15,71.6,2022-03-18,2022-01-10,Redes Sociales,Expansion,
OPP00000152,152.0,ACC000198,Migracion de Red Fibra Corporativa - Hospital Rebagliati,Closed Won,168932.2,100.0,2024-08-12,2024-01-06,Llamada Directa,Renovacion,8385.0
OPP00000153,153.0,ACC000701,Ministerio de Educacion - WOM TvGo Premium Implementacion,Qualification,294891.0,32.7,2024-08-18,2021-10-27,Partner,Upgrade,
OPP00000154,154.0,ACC000065,Proyecto TV Digital Empresas Enterprise 5000 Mbps - Gobierno Regional de Temuco,Discovery,386376.81,15.7,2023-04-28,2022-01-31,Llamada Directa,Expansion,
OPP00000155,155.0,ACC000938,UTEC - WOM TvGo + L1MAX Upgrade Velocidad,Closed Lost,207110.31,0.0,2024-07-15,2021-12-13,Llamada Directa,Cross-Sell,
OPP00000156,156.0,ACC000330,Municipalidad de Santiago Fibra Optica Proyecto TV Digital,Closed Lost,195170.4,0.0,2023-10-09,2021-11-17,WhatsApp,Expansion,
OPP00000157,157.0,ACC000123,Conectividad Corporativa Duo 1500 Mbps + WOM TvGo + L1MAX - Sedalib,Negotiation,200440.61,69.0,2023-04-30,2023-03-12,Telemarketing,Nuevo Cliente,46980.0
OPP00000158,158.0,ACC000181,Transformacion Digital Enlace Dedicado 100 Mbps - BCP,Prospecting,170468.03,11.3,2025-11-25,2025-08-26,Llamada Directa,Renovacion,33468.0
